k [ Mpc^-1],P(k) [Mpc^3]
0.001651412,28153.38602
0.001663874,28333.44542
0.001676431,28514.418
0.001689082,28696.30469
0.001701828,28879.10638
0.00171467,29062.82394
0.00172761,29247.45813
0.001740647,29433.00969
0.001753783,29619.47931
0.001767017,29806.8676
0.001780352,29995.17512
0.001793787,30184.40214
0.001807323,30374.54871
0.001820962,30565.61483
0.001834704,30757.60041
0.001848549,30950.50528
0.001862499,31144.32922
0.001876554,31339.07193
0.001890715,31534.73303
0.001904983,31731.31209
0.001919358,31928.80856
0.001933843,32127.22186
0.001948436,32326.55131
0.00196314,32526.79615
0.001977954,32727.95556
0.00199288,32930.02863
0.002007919,33133.01435
0.002023072,33336.91167
0.002038339,33541.71943
0.002053721,33747.43639
0.002069219,33954.06122
0.002084834,34161.59254
0.002100566,34370.02883
0.002116418,34579.36854
0.002132389,34789.60999
0.002148481,35000.75144
0.002164694,35212.79103
0.00218103,35425.72684
0.002197488,35639.55686
0.002214071,35854.27896
0.00223078,36069.89094
0.002247614,36286.3904
0.002264575,36503.77445
0.002281664,36722.04
0.002298882,36941.18381
0.002316231,37161.20258
0.00233371,37382.09285
0.002351321,37603.85108
0.002369064,37826.47361
0.002386942,38049.95664
0.002404955,38274.29629
0.002423104,38499.48853
0.002441389,38725.52923
0.002459813,38952.41414
0.002478375,39180.13888
0.002497078,39408.69896
0.002515922,39638.08976
0.002534908,39868.30654
0.002554037,40099.34444
0.002573311,40331.19846
0.00259273,40563.86348
0.002612295,40797.33427
0.002632008,41031.60545
0.00265187,41266.67153
0.002671882,41502.52686
0.002692045,41739.1657
0.00271236,41976.58215
0.002732829,42214.77018
0.002753452,42453.72364
0.00277423,42693.43624
0.002795165,42933.90154
0.002816259,43175.11299
0.002837511,43417.06357
0.002858924,43659.74566
0.002880498,43903.15148
0.002902235,44147.27307
0.002924137,44392.10231
0.002946203,44637.63094
0.002968436,44883.85052
0.002990837,45130.75247
0.003013407,45378.32803
0.003036147,45626.56829
0.003059059,45875.46418
0.003082144,46125.00644
0.003105403,46375.18568
0.003128837,46625.99233
0.003152448,46877.41664
0.003176238,47129.44872
0.003200207,47382.0785
0.003224356,47635.29574
0.003248688,47889.09003
0.003273204,48143.4508
0.003297905,48398.36729
0.003322792,48653.8286
0.003347867,48909.82364
0.003373131,49166.34115
0.003398586,49423.36969
0.003424233,49680.89768
0.003450073,49938.91332
0.003476109,50197.40467
0.00350234,50456.35961
0.00352877,50715.76584
0.0035554,50975.61081
0.00358223,51235.881
0.003609262,51496.56227
0.003636499,51757.64031
0.003663941,52019.10055
0.003691591,52280.92828
0.003719449,52543.10853
0.003747517,52805.62617
0.003775797,53068.46584
0.00380429,53331.612
0.003832999,53595.04889
0.003861924,53858.76054
0.003891067,54122.73081
0.003920431,54386.94331
0.003950016,54651.38148
0.003979824,54916.02856
0.004009857,55180.86756
0.004040117,55445.8813
0.004070605,55711.05242
0.004101323,55976.36331
0.004132273,56241.79621
0.004163456,56507.33311
0.004194875,56772.95584
0.004226531,57038.64601
0.004258426,57304.38502
0.004290561,57570.15409
0.004322939,57835.93424
0.004355562,58101.70627
0.00438843,58367.4508
0.004421547,58633.14825
0.004454913,58898.77885
0.004488532,59164.32203
0.004522404,59429.75527
0.004556531,59695.05551
0.004590916,59960.19943
0.004625561,60225.16348
0.004660467,60489.92389
0.004695636,60754.45662
0.004731071,61018.73744
0.004766773,61282.74183
0.004802745,61546.4451
0.004838988,61809.82227
0.004875505,62072.84819
0.004912297,62335.49743
0.004949367,62597.74438
0.004986717,62859.56317
0.005024348,63120.92775
0.005062263,63381.81181
0.005100465,63642.18885
0.005138955,63902.03214
0.005177735,64161.31476
0.005216808,64420.00957
0.005256176,64678.0892
0.005295841,64935.52612
0.005335805,65192.29256
0.005376071,65448.36058
0.00541664,65703.70202
0.005457516,65958.28854
0.0054987,66212.09163
0.005540195,66465.08255
0.005582003,66717.2324
0.005624127,66968.51205
0.005666569,67218.89033
0.005709331,67468.33397
0.005752415,67716.80934
0.005795825,67964.28264
0.005839562,68210.7198
0.005883629,68456.08656
0.005928029,68700.34846
0.005972764,68943.47082
0.006017837,69185.41876
0.006063249,69426.15723
0.006109004,69665.65095
0.006155105,69903.86449
0.006201554,70140.76223
0.006248353,70376.30837
0.006295505,70610.46697
0.006343013,70843.20188
0.006390879,71074.47685
0.006439107,71304.25544
0.006487699,71532.50109
0.006536657,71759.17708
0.006585985,71984.2466
0.006635685,72207.67267
0.00668576,72429.41823
0.006736213,72649.44608
0.006787047,72867.71895
0.006838264,73084.19945
0.006889868,73298.85011
0.006941861,73511.63337
0.006994247,73722.51161
0.007047028,73931.44715
0.007100207,74138.40153
0.007153787,74343.33185
0.007207772,74546.19339
0.007262165,74746.94133
0.007316967,74945.53074
0.007372184,75141.91662
0.007427817,75336.05387
0.007483869,75527.89736
0.007540345,75717.40187
